id,user_id,transaction_type,amount,reference,transaction_date,created_at
c3000000-e29b-41d4-a716-446655440001,a1000000-e29b-41d4-a716-446655440001,deposit,42000.00,MPX-GR-001,2025-11-02T09:15:00,2025-11-02T09:15:00
c3000000-e29b-41d4-a716-446655440002,a1000000-e29b-41d4-a716-446655440001,payment,8200.00,MPX-GR-002,2025-11-04T14:10:00,2025-11-04T14:10:00
c3000000-e29b-41d4-a716-446655440003,a1000000-e29b-41d4-a716-446655440002,deposit,26500.00,MPX-KE-001,2025-10-11T10:30:00,2025-10-11T10:30:00
c3000000-e29b-41d4-a716-446655440004,a1000000-e29b-41d4-a716-446655440002,withdrawal,7000.00,MPX-KE-002,2025-10-18T18:20:00,2025-10-18T18:20:00
c3000000-e29b-41d4-a716-446655440005,a1000000-e29b-41d4-a716-446655440003,transfer,12000.00,MPX-MI-001,2025-09-05T13:02:00,2025-09-05T13:02:00
c3000000-e29b-41d4-a716-446655440006,a1000000-e29b-41d4-a716-446655440003,payment,4300.00,MPX-MI-002,2025-12-31T15:00:00,2025-12-31T15:00:00
c3000000-e29b-41d4-a716-446655440007,a1000000-e29b-41d4-a716-446655440004,deposit,15000.00,MPX-BR-001,2025-08-09T08:40:00,2025-08-09T08:40:00
c3000000-e29b-41d4-a716-446655440008,a1000000-e29b-41d4-a716-446655440004,withdrawal,9800.00,MPX-BR-002,2025-10-20T11:41:00,2025-10-20T11:41:00
c3000000-e29b-41d4-a716-446655440009,a1000000-e29b-41d4-a716-446655440005,payment,1200.00,MPX-FA-001,2025-11-11T09:05:00,2025-11-11T09:05:00
c3000000-e29b-41d4-a716-446655440010,a1000000-e29b-41d4-a716-446655440005,deposit,8000.00,MPX-FA-002,2025-12-16T16:20:00,2025-12-16T16:20:00
c3000000-e29b-41d4-a716-446655440011,a1000000-e29b-41d4-a716-446655440006,deposit,34000.00,MPX-DA-001,2025-12-01T11:33:00,2025-12-01T11:33:00
c3000000-e29b-41d4-a716-446655440012,a1000000-e29b-41d4-a716-446655440007,payment,2800.00,MPX-LU-001,2025-11-30T12:28:00,2025-11-30T12:28:00
c3000000-e29b-41d4-a716-446655440013,a1000000-e29b-41d4-a716-446655440008,transfer,4500.00,MPX-PE-001,2025-12-20T08:18:00,2025-12-20T08:18:00
c3000000-e29b-41d4-a716-446655440014,a1000000-e29b-41d4-a716-446655440009,deposit,10000.00,MPX-RU-001,2025-12-09T07:45:00,2025-12-09T07:45:00
c3000000-e29b-41d4-a716-446655440015,a1000000-e29b-41d4-a716-446655440010,payment,5400.00,MPX-JA-001,2025-12-27T17:08:00,2025-12-27T17:08:00
c3000000-e29b-41d4-a716-446655440016,a1000000-e29b-41d4-a716-446655440011,withdrawal,2100.00,MPX-NA-001,2025-12-03T14:55:00,2025-12-03T14:55:00
c3000000-e29b-41d4-a716-446655440017,a1000000-e29b-41d4-a716-446655440012,deposit,6500.00,MPX-SA-001,2025-12-22T09:12:00,2025-12-22T09:12:00
c3000000-e29b-41d4-a716-446655440018,a1000000-e29b-41d4-a716-446655440012,payment,900.00,MPX-SA-002,2026-01-03T10:30:00,2026-01-03T10:30:00
