id,user_id,transaction_type,amount,reference,transaction_date,created_at
c3000000-e29b-41d4-a716-446655440001,631cc9f4-9a5e-4af1-8c42-a5eb41baf319,deposit,42000.00,MPX-GR-001,2025-11-02T09:15:00,2025-11-02T09:15:00
c3000000-e29b-41d4-a716-446655440002,631cc9f4-9a5e-4af1-8c42-a5eb41baf319,payment,8200.00,MPX-GR-002,2025-11-04T14:10:00,2025-11-04T14:10:00
c3000000-e29b-41d4-a716-446655440003,72e63195-aa7b-418a-adb3-b610460f5466,deposit,26500.00,MPX-KE-001,2025-10-11T10:30:00,2025-10-11T10:30:00
c3000000-e29b-41d4-a716-446655440004,72e63195-aa7b-418a-adb3-b610460f5466,withdrawal,7000.00,MPX-KE-002,2025-10-18T18:20:00,2025-10-18T18:20:00
c3000000-e29b-41d4-a716-446655440005,7d2de34a-80eb-4b64-9463-23647c91ae63,transfer,12000.00,MPX-MI-001,2025-09-05T13:02:00,2025-09-05T13:02:00
c3000000-e29b-41d4-a716-446655440006,7d2de34a-80eb-4b64-9463-23647c91ae63,payment,4300.00,MPX-MI-002,2025-12-31T15:00:00,2025-12-31T15:00:00
c3000000-e29b-41d4-a716-446655440007,668d5cb4-38f7-4e21-a108-3608ad061ed0,deposit,15000.00,MPX-BR-001,2025-08-09T08:40:00,2025-08-09T08:40:00
c3000000-e29b-41d4-a716-446655440008,668d5cb4-38f7-4e21-a108-3608ad061ed0,withdrawal,9800.00,MPX-BR-002,2025-10-20T11:41:00,2025-10-20T11:41:00
c3000000-e29b-41d4-a716-446655440009,0fcb118e-684f-4b74-bc37-fc457047a8e7,payment,1200.00,MPX-FA-001,2025-11-11T09:05:00,2025-11-11T09:05:00
c3000000-e29b-41d4-a716-446655440010,0fcb118e-684f-4b74-bc37-fc457047a8e7,deposit,8000.00,MPX-FA-002,2025-12-16T16:20:00,2025-12-16T16:20:00
c3000000-e29b-41d4-a716-446655440011,8ef7edba-d5e4-4d53-8cc9-6c163724fd51,deposit,34000.00,MPX-DA-001,2025-12-01T11:33:00,2025-12-01T11:33:00
c3000000-e29b-41d4-a716-446655440012,782423b3-0a6d-42d2-bb86-b6d58a6531f0,payment,2800.00,MPX-LU-001,2025-11-30T12:28:00,2025-11-30T12:28:00
c3000000-e29b-41d4-a716-446655440013,8dceb416-4d5d-41bb-ba60-078f2bd942a4,transfer,4500.00,MPX-PE-001,2025-12-20T08:18:00,2025-12-20T08:18:00
c3000000-e29b-41d4-a716-446655440014,285826e6-99d6-4fe8-8e8d-b8f5bc28da43,deposit,10000.00,MPX-RU-001,2025-12-09T07:45:00,2025-12-09T07:45:00
c3000000-e29b-41d4-a716-446655440015,e57558fe-0c0a-4fd8-8267-3883222c0956,payment,5400.00,MPX-JA-001,2025-12-27T17:08:00,2025-12-27T17:08:00
c3000000-e29b-41d4-a716-446655440016,4c45b5d8-4d07-41b2-a14d-68f1a6e237a6,withdrawal,2100.00,MPX-NA-001,2025-12-03T14:55:00,2025-12-03T14:55:00
c3000000-e29b-41d4-a716-446655440017,1f79173d-1e0f-4986-b799-e813d4202928,deposit,6500.00,MPX-SA-001,2025-12-22T09:12:00,2025-12-22T09:12:00
c3000000-e29b-41d4-a716-446655440018,1f79173d-1e0f-4986-b799-e813d4202928,payment,900.00,MPX-SA-002,2026-01-03T10:30:00,2026-01-03T10:30:00
