id,user_id,amount,loan_reference,due_date,status,payment_date,days_overdue,created_at
p2000000-e29b-41d4-a716-446655440001,p1000000-e29b-41d4-a716-446655440001,12000.00,SAL-AN-01,2024-10-05T00:00:00,on_time,2024-10-03T10:00:00,0,2024-09-05T09:00:00
p2000000-e29b-41d4-a716-446655440002,p1000000-e29b-41d4-a716-446655440001,11800.00,SAL-AN-02,2025-01-05T00:00:00,on_time,2025-01-04T11:00:00,0,2024-12-05T09:00:00
p2000000-e29b-41d4-a716-446655440003,p1000000-e29b-41d4-a716-446655440002,15000.00,SME-BE-01,2024-11-20T00:00:00,late,2024-12-02T12:30:00,12,2024-10-20T09:00:00
p2000000-e29b-41d4-a716-446655440004,p1000000-e29b-41d4-a716-446655440002,15200.00,SME-BE-02,2025-02-20T00:00:00,on_time,2025-02-18T15:20:00,0,2025-01-20T09:00:00
p2000000-e29b-41d4-a716-446655440005,p1000000-e29b-41d4-a716-446655440003,6500.00,GIG-CA-01,2024-12-01T00:00:00,late,2024-12-14T18:10:00,13,2024-11-01T09:00:00
p2000000-e29b-41d4-a716-446655440006,p1000000-e29b-41d4-a716-446655440003,6200.00,GIG-CA-02,2025-03-01T00:00:00,defaulted,,33,2025-02-01T09:00:00
p2000000-e29b-41d4-a716-446655440007,p1000000-e29b-41d4-a716-446655440004,3000.00,STD-DA-01,2025-01-15T00:00:00,on_time,2025-01-15T09:00:00,0,2024-12-15T09:00:00
p2000000-e29b-41d4-a716-446655440008,p1000000-e29b-41d4-a716-446655440005,9000.00,FAR-EU-01,2024-12-30T00:00:00,late,2025-01-20T10:00:00,21,2024-11-30T09:00:00
p2000000-e29b-41d4-a716-446655440009,p1000000-e29b-41d4-a716-446655440005,9200.00,FAR-EU-02,2025-03-30T00:00:00,on_time,2025-03-28T09:45:00,0,2025-02-28T09:00:00
p2000000-e29b-41d4-a716-446655440010,p1000000-e29b-41d4-a716-446655440006,7000.00,TRD-FR-01,2025-01-10T00:00:00,on_time,2025-01-09T17:20:00,0,2024-12-10T09:00:00
p2000000-e29b-41d4-a716-446655440011,p1000000-e29b-41d4-a716-446655440007,10500.00,HLT-GR-01,2025-01-28T00:00:00,on_time,2025-01-25T08:10:00,0,2024-12-28T09:00:00
p2000000-e29b-41d4-a716-446655440012,p1000000-e29b-41d4-a716-446655440008,9800.00,TRN-HA-01,2025-02-12T00:00:00,late,2025-03-01T11:00:00,17,2025-01-12T09:00:00
p2000000-e29b-41d4-a716-446655440013,p1000000-e29b-41d4-a716-446655440009,5600.00,FRL-IR-01,2025-02-01T00:00:00,on_time,2025-01-31T16:00:00,0,2025-01-01T09:00:00
p2000000-e29b-41d4-a716-446655440014,p1000000-e29b-41d4-a716-446655440010,11500.00,PUB-JO-01,2025-02-20T00:00:00,on_time,2025-02-19T10:40:00,0,2025-01-20T09:00:00
